Title,Original,Generated
Silver Streak,"By train, by plane, by the edge of your seat - It's the most hilarious suspense ride of your life!",There's no such thing as a dead man without a body.
Amusement,"Your Torture, Your Pain, Your Fear, His Amusement",It's a game of cat-and-mouse...
Blue Crush,"Three Friends, One Passion, No Limits.",It's not just a surf game...
The President's Lady,They branded her adulteress!,He was the first president to marry a woman of his stature.
Money Monster,Not every conspiracy is a theory.,"It's not about the money, it's about what happens next."
Duplicity,Outwit. Outspy. Outsmart. Outplay. Then get out.,It's a race against time to save the world from a global corporation.
About Scout,You can't choose your family.,She's the girl of his dreams.
Who Am I?,Fight now. Ask questions later.,The greatest martial artist of all time is back in action!
That Forsyte Woman,This is the story of that Forsyte woman and the mens who were such fools about her.,The story of a man and a woman who met and fell in love.
Before You Say 'I Do',"To have a future, he must undo her past...",The story of a man who changed the course of his life.
Shakedown,he quake of the century... get ready to rumble in the rubble!,It's not just a virus...
Head On,full on - all night - come on,The story of a young man who finds himself in the crosshairs of the
Robin and Marian,Love is the greatest adventure of all.,The story of a man who risked everything to save the world.
Austin Powers: The Spy Who Shagged Me,"I'm back, baby!",He's back.
The Crash Reel,The mind has mountains,There's no such thing as a safe snowboarding trip.
A Little Romance,"America is having a love affair with ""A Little Romance""",The story of a girl who was born to be a woman.
The Fall,A little blessing in disguise.,The story of the 5 greatest heroes in the history of Hollywood.
Duets,Six littles souls in search of a little harmony.,"It's not just a place to sing, it's a way of life."
Slasher House,One Girl. Four Killers... Welcome Home.,It's a game of cat and mouse...
Godzilla vs. Megalon,"Titan against Titan! Giant against Giant, in the most spectacular battle yet!!",The most powerful monster of all time!
Pusher III: I'm the Angel of Death,I'm the Angel of Death.,The story of one man's quest to save the world from a world of drugs
Gypsy,Let this tuneful Broadway classic entertain you.,The story of a woman who defied all odds to become one of Broadway's most
Try Seventeen,"You're only seventeen once. For Jones Dillon, it's one time too many.",He's a writer.
The Villain Still Pursued Her,Good to the Last Drop...of the Villain...the Girl...or Maybe the Scenery!,"A comedy about love, lust, and the devil."
Groove,Are you feeling it?,There's no such thing as a 'normal' rave.
Cypher,Never forget who you are,It's not what you think it is...
The Secret Ways,On-the-spot realism!,The story of a man who risked everything to fight for freedom.
The Devil's Brother,"In the early eighteenth century, Northern Italy was terrorized by bandits. Boldest among the robber-chieftains was Fra Diavolo (The Devil's Brother), who masqueraded as the elegant Marquis de San Marco in order to mingle with the rich. Great lords lost their gold to him-great ladies their hearts.","This is the story of the devil's brother, the bandits, and the"
American Teacher,Dedicated. Brilliant. Inspiring. Underpaid. Misunderstood. Scapegoated. There's a lesson here.,How far would you go to get what you want?
Lazy Eye,An ex-love story,"It's not what you think, it's what we think."
Bucktown,WHATEVER YOU WANT THEY'VE GOT... And Bucktown is where you'll find it!,The story of a man who risked everything to save his family.
Tentacles,It's Turning the Beach ... Into a Buffet!,It's not what you think it is.
6 Ways to Die,One death isn't enough,The story of one man's struggle to save the world from a drug lord.
The Opponent,She couldn't run from her past. So she fought for her future.,"She's got the talent, the heart, and the guts to win."
Boys Town,"No boy is bad, if given a chance!",Boys Town is the story of a boy and a gang of outlaws.
In Tranzit,From her greatest enemy came her greatest love.,The story of a man who risked everything to save his country.
Wish You Were Here,Four Went. Three came back. Only one of them knows what happened.,It was a night that changed their lives forever.
Back Soon,How long does love last?,"A story about a man who made a mistake, a woman who changed her mind"
Knock Off,There is no substitute.,The story of a man who risked everything to save his country.
George of the Jungle 2,Watch Out For That Sequel!,The story of a boy and a girl who are destined to become one.
Black Hand,It's Gene Kelly against The Black Hand!,The story of a man who became a mobster...
The Switch,The most unexpected comedy ever conceived.,It's not what you think it is...
Serenity,Can't stop the signal.,"It's not what you think it is, it's who you are."
Staggered,Neil Price is in a bad way. He got up on the wrong side of the country this morning.,A comedy about a man who's lost everything...
Zombie Ninjas vs Black Ops,"What doesn't kill you, will try and try again.",It's not just a fight...
My Chauffeur,He fell in love with the help... Beverly Hills will never be the same.,It's not what you think...
2012 Doomsday,An Ancient Prophecy Foretold. A Scientific Discovery Revealed.,The end of the world.
My Bloody Valentine,He's gonna break your heart.,He was the last man on earth.
Framed,"He was taken by everyone, for everything he had. All he had left was one obsession. To get even. To pay them back two for one.","He's got a lot on his mind, but he doesn't know how to"
Daylight's End,The Dead Rise When Daylight Ends,The only thing more terrifying than a plague is a creature that will stop at nothing
Underworld: Blood Wars,Protect the Bloodline,Vengeance is the only weapon she can use.
Ghost of Dragstrip Hollow,The Hot Rod Gang meets the...GHOST of DRAGSTRIP HOLLOW!,"It's not Halloween, but it's a hell of fun!"
The A-Team,There Is No Plan B,The story of the men who risked their lives to save the world.
One Hour with You,Chevalier! Captivating all the world with laughter and love!,"A comedy about love, sex, love..."
The Tree,Life is a force of nature,"A story of love, loss, and the power of fear."
Cleopatra,Passion. Power. Betrayal.,The true story of a woman who became the most feared woman in history.
Bomb the System,Graffiti Can Be A Powerful Weapon,"It's not what you think it is, it's who you are."
Red Riding Hood,Who's afraid?,"It's not what you think it is, it's who you are."
A Bucket of Blood,Murder is his masterpiece.,The story of a man who made the world a better place.
Alien: Resurrection,It's already too late.,They're coming for you.
Ghostbusters,Who You Gonna Call?,It's not what you think it is...
Stage Struck,Ten thousand girls dream her dream every night.,The story of a small town girl who becomes the star of her own show!
VeggieTales: Lord of the Beans,"A lesson in using your gifts told in a manner of JRR Tolkien's classic ""The Lord of the Rings.""","It's a story of love, friendship, adventure and adventure."
Carry On Matron,The Carry On team serve up another 'prescription' of hilarious comedy!!!,It's not what you think it is...
The Watcher,Don't go home alone.,It's not just a game...
Hellfighters,The Toughest Hellfighter Of All!,He's the only one who knows how to extinguish fires.
Save the Last Dance 2,The best move... is following your heart.,"The story of a girl who loves to dance, and a man who wants to"
The Other Hell,Say Your Prayers,"It's not just a matter of faith, it's about love."
The Bourne Legacy,There Was Never Just One,It's not just a movie.
Undercover Brother,He's All Action,The man is back
Wednesday 04:45,"One man, one city, 32 hours.",The story of a man who risked everything to save his family.
The Book of Henry,Never leave things undone.,The story of a mother's struggle to keep her family together.
Dark Island,Welcome to the last level of evolution...,The only way out is to stay alive.
Pretty Bird,A Rocket Propelled Misadventure,"It's not rocket science, it's a story about dreams."
One of Our Aircraft Is Missing,1942's first blast of screen dynamite,The true story behind the greatest bombing raid of all time.
